                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1394,                0.86105,                 1.0719,                0.44904,                0.47572,                0.42971,                0.25703,                 1.3968,                 1.2434,                 1.2482,             0.00082513,             0.00082513,             0.00082513
                    106,                 1.1436,                0.87977,                 1.0619,                0.33941,                0.53465,                0.40378,                 0.2419,                  1.391,                 1.3134,                 1.2575,               0.000821,               0.000821,               0.000821
                    107,                 1.1677,                0.88009,                 1.0759,                0.40845,                0.41847,                0.39116,                0.23128,                  1.471,                 1.3214,                 1.2831,             0.00081688,             0.00081688,             0.00081688
                    108,                 1.1492,                0.87724,                  1.076,                0.36697,                0.47569,                0.38081,                0.22672,                  1.401,                 1.3092,                 1.2689,             0.00081275,             0.00081275,             0.00081275
                    109,                 1.1342,                0.84603,                 1.0711,                0.40878,                0.46546,                0.40506,                0.24922,                 1.3916,                 1.2867,                 1.2371,             0.00080863,             0.00080863,             0.00080863
                    110,                 1.1231,                0.83151,                 1.0514,                0.45021,                 0.4661,                0.42781,                0.25707,                 1.4389,                 1.3066,                 1.2712,              0.0008045,              0.0008045,              0.0008045
                    111,                 1.1269,                 0.8544,                 1.0633,                0.50957,                0.42492,                0.42631,                0.26546,                 1.4172,                 1.2752,                 1.2571,             0.00080038,             0.00080038,             0.00080038
                    112,                 1.1199,                0.85257,                 1.0571,                0.38902,                0.46901,                 0.3909,                0.24245,                  1.407,                  1.337,                  1.256,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.1408,                0.85935,                 1.0568,                0.50263,                 0.4396,                0.45342,                 0.2896,                 1.3801,                 1.2329,                  1.231,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.1387,                0.83282,                 1.0645,                0.40948,                0.45949,                0.39296,                0.23959,                 1.4145,                 1.2761,                 1.2728,               0.000788,               0.000788,               0.000788
                    115,                 1.1263,                0.82211,                 1.0649,                0.43505,                0.46606,                 0.4174,                  0.253,                 1.4092,                 1.2216,                 1.2518,             0.00078387,             0.00078387,             0.00078387
                    116,                 1.1343,                0.83683,                 1.0595,                  0.419,                0.44979,                0.40561,                0.24719,                 1.4369,                 1.2883,                 1.2773,             0.00077975,             0.00077975,             0.00077975
                    117,                 1.1234,                0.80729,                 1.0566,                0.42957,                0.43877,                0.39879,                0.23937,                 1.4348,                 1.2813,                 1.2709,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.1312,                0.80794,                 1.0608,                0.43444,                0.47489,                0.40542,                0.24219,                 1.4151,                 1.2872,                 1.2644,              0.0007715,              0.0007715,              0.0007715
                    119,                 1.1036,                0.82134,                  1.049,                0.33161,                0.45976,                0.36264,                0.22036,                 1.4128,                  1.363,                 1.2848,             0.00076738,             0.00076738,             0.00076738
                    120,                 1.1147,                0.80551,                 1.0557,                0.36168,                0.49078,                0.38045,                0.22522,                 1.4172,                 1.3506,                 1.2989,             0.00076325,             0.00076325,             0.00076325
